Serial,sequence_ID,sequence_length,telo_density,Telomere_start,Telomere_end,Telomere_length,telo_density_mismatch,Telomere_start_mismatch,Telomere_end_mismatch,Telomere_length_mismatch
31,2065d5d7-b2c9-42ef-893b-7589012e3d58 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1263 start_time=2025-11-20T12:28:45.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=2065d5d7-b2c9-42ef-893b-7589012e3d58 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,25156,0.9888983774551665,92,4775,4684,0.999360341151386,86,4775,4690
32,c7fc083f-25a0-42d7-bf5f-4f214d4e36e4 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2921 start_time=2025-11-20T16:13:11.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=c7fc083f-25a0-42d7-bf5f-4f214d4e36e4 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,2791,0.9996289424860854,96,2790,2695,0.9996297667530544,90,2790,2701
33,2299cb5d-c536-43b3-9555-9b481ef5df11 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2813 start_time=2025-11-20T17:45:22.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=2299cb5d-c536-43b3-9555-9b481ef5df11 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,131598,0.9701483350772451,89,16335,16247,0.9911993202233552,89,16564,16476
34,73d7f030-323e-4b25-b3c4-6b49ab0946a4 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1184 start_time=2025-11-20T20:14:09.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=73d7f030-323e-4b25-b3c4-6b49ab0946a4 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,3046,0.9996613613274636,91,3043,2953,0.9996627318718381,79,3043,2965
35,2643f003-e8cd-4b8a-b956-765b361da93b runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1045 start_time=2025-11-19T22:06:48.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=2643f003-e8cd-4b8a-b956-765b361da93b basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,21399,0.9591836734693877,90,4450,4361,0.972736520854527,90,5004,4915
36,afee236e-50b3-42ab-a1ee-7b0b84674a7f runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2823 start_time=2025-11-21T05:00:30.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=afee236e-50b3-42ab-a1ee-7b0b84674a7f basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,14233,0.8598448108632396,92,4215,4124,0.981145584725537,86,4275,4190
37,88836f1d-7194-406f-8178-29d96c764645 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2737 start_time=2025-11-21T13:35:13.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=88836f1d-7194-406f-8178-29d96c764645 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,25997,0.978875895888344,77,10680,10604,0.9944408412860187,77,10869,10793
38,30052289-cd37-4bde-861a-8c489b9e80ff runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2572 start_time=2025-11-20T00:18:48.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=30052289-cd37-4bde-861a-8c489b9e80ff basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,6079,0.9314125994409804,83,4733,4651,0.9886792452830189,77,4846,4770
39,c8e1022d-d109-4f0f-b15d-7cf107ade82b runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1781 start_time=2025-11-20T20:16:51.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=c8e1022d-d109-4f0f-b15d-7cf107ade82b basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,14193,0.9657228017883756,80,13499,13420,0.9929078014184397,74,14173,14100
40,34cf8ed8-9fb4-48a0-95ba-f85782b23015 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2420 start_time=2025-11-21T01:25:46.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=34cf8ed8-9fb4-48a0-95ba-f85782b23015 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,3775,0.8857242097950677,93,2971,2879,0.9831150930392832,87,2988,2902
